rank,ticker,company,exchange,quote_type,country,sector,industry,market_cap,market_regime,final_score,rs_score,trend_score,trend_status,volume_score,sector_score,structure_score,rr_score,liquidity_pass,liquidity_score,momentum_score,fundamental_score,options_score,options_bias,options_confidence,options_crowded_bullish,setup_type,trigger_confirmed,trigger_level,entry,stop,target,rr,atr_pct,relative_volume,price,avg_volume_20d,avg_volume_60d,median_volume_20d,mean_volume_20d,dollar_volume_20d,median_to_mean_volume_ratio,spread_pct,bid,ask,average_volume_yf,average_volume_10d_yf,regular_market_volume_yf,earnings_date,days_to_earnings,earnings_veto,earnings_penalty,revenue_growth,earnings_growth,operating_margins,profit_margins,debt_to_equity,return_on_equity,gross_margins,return_on_assets,trailing_pe,forward_pe,price_to_book,price_to_sales_ttm,enterprise_to_ebitda,short_percent_float,short_ratio,held_percent_institutions,options_data_available,options_source,options_expirations_used,call_volume,put_volume,call_open_interest,put_open_interest,put_call_volume_ratio,put_call_oi_ratio,call_volume_share,call_oi_share,near_call_volume,near_put_volume,near_call_open_interest,near_put_open_interest,near_put_call_volume_ratio,near_put_call_oi_ratio,near_call_oi_share,max_call_oi_strike,max_call_oi,max_put_oi_strike,max_put_oi,max_pain_approx,atm_implied_volatility,call_volume_to_oi,put_volume_to_oi,total_option_volume,total_option_open_interest,warnings,scanner_stage,quote_timestamp,regular_market_time,pre_market_time,post_market_time,market_session,market_state_raw,metadata_fetched_at,quote_timestamp_source,signal,veto_reasons,reason_summary,all_veto_reasons,source_channel,validation_status,data_quality_warning,universe_veto_reasons,metadata_source,cache_schema_version,currency,enterprise_value,shares_outstanding,average_volume,average_volume_10d,bid_size,ask_size,regular_market_volume,total_debt,total_cash,free_cashflow,operating_cashflow,earnings_quarterly_growth,eps_trailing_twelve_months,eps_forward,peg_ratio,held_percent_insiders,fundamental_warning,early_veto_reasons,penalty_reasons,quote_age_seconds,quote_temporal_status,quote_status,execution_quote_quality,asset_quality_score,setup_quality_score,context_score,institutional_score,final_trade_score,score_breakdown,theoretical_entry,theoretical_stop,theoretical_target,actionable_entry,actionable_stop,actionable_target,legacy_rank,trade_rank,rank_delta,legacy_rank_basis,trade_rank_basis,run_trust_status,run_trust_reasons,critical_essential_sources,run_manual_review_required,schema_version,backtest_run_id,generated_at_utc,market_date_et,exchange_timezone
1,GKOS,Glaukos Corporation,NYQ,EQUITY,United States,Healthcare,Medical Devices,9921918976.0,risk_off,75.84,0.954,1.0,excellent,0.585,0.788,1.0,0.7,True,1.0,0.86,0.4713,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,BREAKOUT,True,166.0,167.94500732421875,156.31529562813895,191.20443071637834,2.0,0.04616476103842959,1.4092539716862147,167.94500732421875,813017.4,1001314.1333333333,689050.0,813017.4,136542213.19771728,0.8475218365560195,0.00329121363502793,169.87,170.43,1003165.0,834820.0,1137800.0,2026-10-28,89.0,False,False,0.412,,-0.13187,-0.34339002,15.779,-0.26389,0.78083,-0.05775,,355.6301,14.663825,17.959496,-210.621,0.0971,5.41,1.0258,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:27:57+00:00,1785425277.0,,,REGULAR,REGULAR,2026-07-30T15:28:09.526593+00:00,yahoo_quote_summary,TRIGGER_CONFIRMED,,BREAKOUT | score 75.84 | RS 0.954 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.14,KNOWN,VALID,HIGH,82.38,78.62,91.4,,83.21,asset=82.38; setup=78.62; context=91.4; institutional=None,167.94500732421875,156.31529562813895,191.20443071637834,167.94500732421875,156.31529562813895,191.20443071637834,2,3,-1,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
2,BBVA,Banco Bilbao Vizcaya Argentaria,NYQ,EQUITY,Spain,Financial Services,Banks - Diversified,152221614080.0,risk_off,75.13,0.867,1.0,excellent,0.706,0.673,0.78,0.7,True,1.0,1.0,0.6936,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,25.810000133514404,27.540000915527344,26.47285774775914,29.674287251063756,2.000000000000003,0.025832561904928122,1.1378821676209512,27.540000915527344,1159201.75,1457150.5833333333,1081300.0,1159201.75,31924417.2562809,0.9327970735033828,0.00036317414200101724,27.53,27.54,1455783.0,1059950.0,1276268.0,2026-07-30,-1.0,False,False,0.119,0.133,0.54861,0.33124,,0.19042999,0.0,0.013710001,13.304349,11.679638,2.510262,4.6661053,,0.0002,0.64,0.03582,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:27:03+00:00,1785425223.0,,,REGULAR,REGULAR,2026-07-30T15:27:13.206468+00:00,yahoo_quote_summary,TRIGGER_CONFIRMED,,RECLAIM | score 75.13 | RS 0.867 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.14,KNOWN,VALID,HIGH,89.79,79.65,84.67,,83.86,asset=89.79; setup=79.65; context=84.67; institutional=None,27.540000915527344,26.47285774775914,29.674287251063756,27.540000915527344,26.47285774775914,29.674287251063756,3,2,1,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
3,BAX,Baxter International Inc.,NYQ,EQUITY,United States,Healthcare,Medical Instruments & Supplies,14280367104.0,risk_off,74.75,0.974,1.0,excellent,0.648,0.788,1.0,0.7,True,1.0,0.74,0.249,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,BREAKOUT,True,24.93000030517578,27.4950008392334,25.72285829271589,31.039285932268417,2.000000000000002,0.04296884263626542,1.6098764490396802,27.4950008392334,5894239.9,6573069.966666667,5246250.0,5894239.9,162062130.997143,0.8900638740543967,0.0021276595744680396,28.17,28.23,6609722.0,5842250.0,9208328.0,2026-07-30,-1.0,False,False,0.029,,0.060349997,-0.096999995,161.021,-0.15010999,0.34647,0.02849,,13.719146,2.3485172,1.2537603,10.705,0.1126,5.81,1.06111,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:26:17+00:00,1785425177.0,,,REGULAR,REGULAR,2026-07-30T15:26:19.107412+00:00,yahoo_quote_summary,TRIGGER_CONFIRMED,,BREAKOUT | score 74.75 | RS 0.974 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.14,KNOWN,VALID,HIGH,74.97,77.2,92.07,,80.71,asset=74.97; setup=77.2; context=92.07; institutional=None,27.4950008392334,25.72285829271589,31.039285932268417,27.4950008392334,25.72285829271589,31.039285932268417,4,7,-3,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
4,CORT,Corcept Therapeutics Incorporat,NCM,EQUITY,United States,Healthcare,Biotechnology,12966999040.0,risk_off,78.18,0.996,1.0,excellent,0.863,0.788,1.0,0.7,True,1.0,0.74,0.4371,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,BREAKOUT,True,97.62999725341797,120.69000244140625,111.04500198364258,139.9800033569336,2.0,0.05327699208803546,1.603579642364162,120.69000244140625,1211942.3,1128030.7666666666,1150800.0,1211942.3,146269319.1458435,0.9495501559768975,0.13864338196145243,87.4,100.42,1154121.0,1235020.0,1930781.0,2026-07-29,-2.0,False,False,0.049,,-0.30079,0.06156,1.511,0.07166,0.9825,-0.0061799996,345.1143,33.09315,20.321333,16.860052,-1391.461,0.11359999,8.85,0.75568,False,error,,,,,,,,,,,,,,,,,,,,,,,,,,,Too Many Requests. Rate limited. Try after a while.,FULL_SCORE,2026-07-30T15:25:21+00:00,1785425121.0,,,REGULAR,REGULAR,2026-07-30T15:25:26.358893+00:00,yahoo_quote_summary,WATCHLIST,,BREAKOUT | score 78.18 | RS 0.996 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.14,KNOWN,STALE_POSSIBLE,LOW,81.24,82.58,92.8,,85.05,asset=81.24; setup=82.58; context=92.8; institutional=None,120.69000244140625,111.04500198364258,139.9800033569336,120.69000244140625,111.04500198364258,139.9800033569336,1,1,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
5,TAL,TAL Education Group,NYQ,EQUITY,China,Consumer Defensive,Education & Training Services,6731299840.0,risk_off,74.67,0.819,0.85,excellent,0.733,0.791,1.0,0.7,True,1.0,0.74,0.724,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,BREAKOUT,True,11.0600004196167,12.119999885559082,11.536124876567296,13.287749903542654,2.0,0.03211633743151381,1.4525768118261695,12.119999885559082,3706180.6,3739413.533333333,3041800.0,3706180.6,44918908.44786129,0.8207371222006828,,12.03,12.01,3683439.0,4489000.0,5343777.0,2026-07-30,-1.0,False,False,0.315,,0.09032,0.17638999,10.268,0.14062001,0.55352,0.03016,13.195652,11.683076,1.7800586,2.2380457,9.036,0.0876,5.35,0.61059,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:26:19+00:00,1785425179.0,,,REGULAR,REGULAR,2026-07-30T15:26:25.921927+00:00,yahoo_quote_summary,WATCHLIST,,BREAKOUT | score 74.67 | RS 0.819 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.14,KNOWN,INVALID,LOW,85.8,79.33,82.0,,81.87,asset=85.8; setup=79.33; context=82.0; institutional=None,12.119999885559082,11.536124876567296,13.287749903542654,12.119999885559082,11.536124876567296,13.287749903542654,5,5,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
6,MKTX,"MarketAxess Holdings, Inc.",NMS,EQUITY,United States,Financial Services,Capital Markets,5795418624.0,risk_off,73.34,0.756,0.7,acceptable,0.856,0.673,1.0,0.7,True,1.0,0.74,0.9004,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,BREAKOUT,True,126.16000366210938,163.11000061035156,154.46249989100866,180.4050020490374,2.000000000000003,0.03534424902206808,6.294059743842142,163.11000061035156,709094.0,741563.0,462500.0,709094.0,115660322.77279663,0.6522407466428992,0.14537033275098515,114.12,132.01,673306.0,455960.0,4334780.0,2026-07-30,-1.0,False,False,0.119,4.5,0.43879002,0.35525,24.251,0.24298,0.62059,0.107939996,19.321093,18.667143,4.868924,6.6532025,9.796,0.0766,2.87,1.11318,False,error,,,,,,,,,,,,,,,,,,,,,,,,,,,Too Many Requests. Rate limited. Try after a while.,FULL_SCORE,2026-07-30T15:25:17+00:00,1785425117.0,,,REGULAR,REGULAR,2026-07-30T15:25:27.191402+00:00,yahoo_quote_summary,WATCHLIST,,BREAKOUT | score 73.34 | RS 0.756 | trend 0.7 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.14,KNOWN,STALE_POSSIBLE,LOW,86.68,82.4,70.97,,80.41,asset=86.68; setup=82.4; context=70.97; institutional=None,163.11000061035156,154.46249989100866,180.4050020490374,163.11000061035156,154.46249989100866,180.4050020490374,6,8,-2,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
7,NEOG,Neogen Corporation,NMS,EQUITY,United States,Healthcare,Medical Devices,2358487296.0,risk_off,71.33,0.868,1.0,excellent,0.433,0.788,0.78,0.7,True,1.0,1.0,0.2841,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,9.718494987487793,10.889900207519531,10.275971582957677,12.11775745664324,2.0,0.03758397615299443,0.7604145463467789,10.889900207519531,1595179.9,2166668.3,1510000.0,1595179.9,17371349.924040984,0.9466016967741382,0.5247148288973383,6.79,11.62,2170565.0,1781910.0,1187492.0,2026-07-30,-1.0,False,False,-0.044,,-0.01563,-0.69936997,37.819,-0.25566998,0.45209,-0.00607,,36.13333,1.1222694,2.7104082,32.996,0.066199996,5.43,1.14165,False,error,,,,,,,,,,,,,,,,,,,,,,,,,,,Too Many Requests. Rate limited. Try after a while.,FULL_SCORE,2026-07-30T15:25:45+00:00,1785425145.0,,,REGULAR,REGULAR,2026-07-30T15:25:51.642813+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 71.33 | RS 0.868 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.14,KNOWN,STALE_POSSIBLE,LOW,76.14,72.83,88.53,,78.11,asset=76.14; setup=72.83; context=88.53; institutional=None,10.889900207519531,10.275971582957677,12.11775745664324,10.889900207519531,10.275971582957677,12.11775745664324,7,14,-7,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
8,TMHC,Taylor Morrison Home Corporatio,NYQ,EQUITY,United States,Consumer Cyclical,Residential Construction,6665396224.0,risk_off,71.29,0.724,1.0,excellent,0.812,0.629,1.0,0.7,True,1.0,0.51,0.4055,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,BREAKOUT,True,72.21499633789062,72.44999694824219,72.1885689326695,72.97285297938755,1.9999999999999456,0.0024055949076109847,3.1191572141367367,72.44999694824219,2943779.8,3146944.0833333335,2580847.0,2943779.8,213276837.52629697,0.876711974176873,,0.0,0.0,3318315.0,2889220.0,9192777.0,2026-07-29,-2.0,False,False,-0.268,-0.512,0.11143,0.08771,38.645,0.111090004,0.22610001,0.06616,10.797317,11.525246,1.0971122,0.8755796,8.087,0.040700004,0.55,1.04193,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T20:03:59+00:00,1784837039.0,,,REGULAR,REGULAR,2026-07-30T15:29:09.928776+00:00,yahoo_quote_summary,WATCHLIST,,BREAKOUT | score 71.29 | RS 0.724 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,stale_quote_timestamp,588355.14,KNOWN,STALE_POSSIBLE,LOW,80.18,75.55,78.43,,77.64,asset=80.18; setup=75.55; context=78.43; institutional=None,72.44999694824219,72.1885689326695,72.97285297938755,72.44999694824219,72.1885689326695,72.97285297938755,8,16,-8,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
9,CMG,"Chipotle Mexican Grill, Inc.",NYQ,EQUITY,United States,Consumer Cyclical,Restaurants,49603317760.0,risk_off,70.85,0.814,0.85,excellent,0.681,0.629,0.78,0.7,True,1.0,1.0,0.4305,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,34.27274990081787,38.724998474121094,36.36571250643049,43.4435704095023,2.0,0.04061607162734521,1.0447562272220243,38.724998474121094,16648332.45,18940160.816666666,17216574.5,16648332.45,644706648.7229106,1.0341320700860945,0.0010432968179446829,38.32,38.36,18962636.0,16557180.0,17288551.0,2026-07-29,-2.0,False,False,0.074,-0.179,0.13271,0.119619995,217.885,0.49231997,0.39648998,0.13539,35.851852,28.319828,20.694817,4.091699,20.962,0.044699997,2.57,0.92413,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:26:11+00:00,1785425171.0,,,REGULAR,REGULAR,2026-07-30T15:26:13.580590+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 70.85 | RS 0.814 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.14,KNOWN,VALID,HIGH,76.02,79.03,76.43,,77.47,asset=76.02; setup=79.03; context=76.43; institutional=None,38.724998474121094,36.36571250643049,43.4435704095023,38.724998474121094,36.36571250643049,43.4435704095023,9,18,-9,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
10,HLN,Haleon plc,NYQ,EQUITY,United Kingdom,Healthcare,Drug Manufacturers - Specialty & Generic,44126064640.0,risk_off,70.64,0.701,0.85,excellent,0.511,0.788,0.82,0.7,True,1.0,1.0,0.616,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,9.896504974365234,10.020099639892578,9.676717417580742,10.706864084516253,2.0000000000000053,0.022846228058434663,0.9332302405621534,10.020099639892578,10316015.9,10189855.3,9112350.0,10316015.9,103367507.20471612,0.8833206625825383,0.0009985022466300335,10.01,10.02,10086680.0,14031890.0,9615507.0,2026-07-30,-1.0,False,False,0.006,0.92,0.23171,0.15113,52.372,0.10273,0.64769,0.04674,20.471428,16.496183,2.0471482,4.0049415,19.37,0.0029,1.41,0.1328,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:29:09+00:00,1785425349.0,,,REGULAR,REGULAR,2026-07-30T15:29:10.585999+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 70.64 | RS 0.701 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.14,KNOWN,VALID,HIGH,82.2,75.78,77.97,,78.17,asset=82.2; setup=75.78; context=77.97; institutional=None,10.020099639892578,9.676717417580742,10.706864084516253,10.020099639892578,9.676717417580742,10.706864084516253,10,13,-3,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
11,ING,"ING Group, N.V.",NYQ,EQUITY,Netherlands,Financial Services,Banks - Diversified,99151855616.0,risk_off,70.39,0.857,1.0,excellent,0.291,0.673,0.78,0.7,True,1.0,1.0,0.6261,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,32.77800025939941,34.709999084472656,33.50035531180246,37.12928662981306,2.0000000000000058,0.023233339183258175,0.6492668840712996,34.709999084472656,2307080.55,3223405.183333333,2313050.0,2307080.55,80078763.77830467,1.0025874475860845,0.0002879769618429953,34.72,34.73,3230031.0,2094420.0,1492840.0,2026-07-30,-1.0,False,False,0.029,0.137,0.41676,0.34228,,0.16565001,0.0,0.00784,13.937752,11.372872,1.723518,4.027691,,0.00029999999,0.23,0.05929,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:27:05+00:00,1785425225.0,,,REGULAR,REGULAR,2026-07-30T15:27:28.331859+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 70.39 | RS 0.857 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.14,KNOWN,VALID,HIGH,87.54,69.28,84.33,,78.53,asset=87.54; setup=69.28; context=84.33; institutional=None,34.709999084472656,33.50035531180246,37.12928662981306,34.709999084472656,33.50035531180246,37.12928662981306,11,11,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
12,KB,KB Financial Group Inc,NYQ,EQUITY,South Korea,Financial Services,Banks - Regional,41829027840.0,risk_off,70.19,0.796,1.0,excellent,0.509,0.673,0.82,0.7,True,1.0,0.65,0.6873,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,117.86142578125,119.0885009765625,113.64242935180664,129.98064422607422,2.0,0.030487531430246635,0.32783981489347813,119.0885009765625,304862.3,285862.43333333335,278250.0,304862.3,36305594.311267085,0.9127071468003751,0.003960729785530686,118.43,118.9,284354.0,288380.0,99789.0,2026-10-29,90.0,False,False,0.185,0.195,0.58942,0.36775002,,0.102239996,0.0,0.00767,10.915537,8.494393,4.6289644,0.0024313112,,0.0011999999,1.14,0.0617,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:26:02+00:00,1785425162.0,,,REGULAR,REGULAR,2026-07-30T15:27:46.723769+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 70.19 | RS 0.796 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.14,KNOWN,VALID,HIGH,89.58,66.97,82.3,,77.51,asset=89.58; setup=66.97; context=82.3; institutional=None,119.0885009765625,113.64242935180664,129.98064422607422,119.0885009765625,113.64242935180664,129.98064422607422,12,17,-5,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
13,SAN,"Banco Santander, S.A. Sponsored",NYQ,EQUITY,Spain,Financial Services,Banks - Diversified,200331608064.0,risk_off,69.36,0.711,1.0,excellent,0.541,0.673,0.82,0.7,True,1.0,0.65,0.6459,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,13.742249870300293,14.015000343322754,13.446339539119176,15.15232195172991,2.0,0.027050102997892952,0.7821204925754263,14.015000343322754,9133244.9,8655404.966666667,8284350.0,9133244.9,128002430.4091508,0.9070544029756609,0.0,14.0,14.0,8680268.0,9762870.0,7127938.0,2026-10-28,89.0,False,False,,,0.43438998,0.33464,,0.13109,0.0,0.00782,14.02,11.438083,1.6765642,4.1292124,,0.0074,10.28,0.03437,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:27:53+00:00,1785425273.0,,,REGULAR,REGULAR,2026-07-30T15:28:21.574349+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 69.36 | RS 0.711 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.14,KNOWN,INVALID,LOW,88.2,67.78,79.47,,76.7,asset=88.2; setup=67.78; context=79.47; institutional=None,14.015000343322754,13.446339539119176,15.15232195172991,14.015000343322754,13.446339539119176,15.15232195172991,13,21,-8,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
14,WHD,"Cactus, Inc. Class A Common Sto",NYQ,EQUITY,United States,Energy,Oil & Gas Equipment & Services,4113042176.0,risk_off,68.98,0.769,0.85,excellent,0.591,0.427,0.78,0.7,True,1.0,1.0,0.7204,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,53.77449970245361,59.099998474121094,55.8699620110648,65.56007140023368,2.0,0.03643583244727912,0.7129228898702219,59.099998474121094,715059.1,772398.0333333333,725100.0,715059.1,42259991.7189064,1.0140420561041739,0.003742769649540641,58.67,58.89,767247.0,679090.0,506829.0,2026-07-29,-2.0,False,False,0.385,,0.1437,0.13032,3.355,0.12722,0.33971,0.07029,55.16822,16.383705,3.3159194,3.4519718,11.372,0.060900003,4.01,1.1009101,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-30T15:26:01+00:00,1785425161.0,,,REGULAR,REGULAR,2026-07-30T15:26:05.283917+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 68.98 | RS 0.769 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.14,KNOWN,VALID,HIGH,85.68,76.78,68.2,,76.87,asset=85.68; setup=76.78; context=68.2; institutional=None,59.099998474121094,55.8699620110648,65.56007140023368,59.099998474121094,55.8699620110648,65.56007140023368,14,19,-5,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical; supporting_source_options_yahoo_critical,price_history_yahoo,True,2.1,20260730T152954356054Z,2026-07-30T15:29:54.356054+00:00,2026-07-30,America/New_York
